,1,2,3,4,5,6,7,8,9,mx,my,mz,time
0,266396.1284511703,-732971.4602696705,98800.15987436865,-732971.4602696705,2057899.8097128225,-271716.25028042047,98800.15987436865,-271716.25028042047,36643.24139774363,5482.60390889672,9285.061353940559,2094.344058743849,86110.0
1,152150.27039222993,-605685.0689803541,55920.52859945441,-605685.0689803541,2569521.6927791806,-222161.7573203965,55920.52859945441,-222161.7573203965,20554.132143642863,6184.958640918487,6941.160691643587,2353.8192941038574,85810.0
2,43178.75716443509,-286865.55642401235,15565.699859828088,-286865.55642401235,3137490.8589818454,-100088.25001344559,15565.699859828088,-100088.25001344559,5620.397823711208,6623.9987443098,4332.7497620876065,2513.1637075495664,85510.0
3,54377.66049500621,299427.90849812905,21355.586732855878,299427.90849812905,3561943.4113037093,122651.35031542632,21355.586732855878,122651.35031542632,8400.326255135526,6649.306990822101,1493.6704490995833,2515.640829469789,85210.0
4,355093.78616188496,1043873.2389390238,136983.2619568338,1043873.2389390238,3497569.41358769,403822.78100736317,136983.2619568338,403822.78100736317,52846.53985918558,6102.390374415645,-1434.054627894118,2301.7320090371504,84910.0
5,935767.7727120954,1574832.7108915849,357839.50328249054,1574832.7108915849,2808196.6859615287,602640.8482241364,357839.50328249054,602640.8482241364,136839.6895299198,4921.549537989372,-4195.513103166725,1848.7615616259109,84610.0
6,1496037.1403056737,1635827.2743247575,569730.6732678383,1635827.2743247575,1852756.4781248653,623143.1985999218,569730.6732678383,623143.1985999218,216969.08650195465,3222.514461915148,-6543.614160799251,1201.0591343187987,84310.0
7,1792817.0637870668,1366545.4045203028,681151.4577284359,1366545.4045203028,1068169.5972655765,519274.53019371163,681151.4577284359,519274.53019371163,258792.6265378007,1228.664437495465,-8378.2055508646,443.2579298429357,84010.0
8,1842537.9149919022,1019760.6766058832,698974.310458013,1019760.6766058832,575984.3934519248,386888.01909248054,698974.310458013,386888.01909248054,265159.0042010193,-864.6255634293059,-9742.890403738915,-350.9421836285733,83710.0
9,1759708.5813123924,721929.7892860759,666814.9939792802,721929.7892860759,301702.002478961,273584.78013323277,666814.9939792802,273584.78013323277,252679.71101321207,-2943.4289232770952,-10735.75808881789,-1138.744927330979,83410.0
10,1627849.7777604193,496749.3372518303,616310.0054050073,496749.3372518303,154482.23117106655,188083.50833703048,616310.0054050073,188083.50833703048,233337.53725144462,-4956.37277693902,-11449.30119972443,-1900.9718944714784,83110.0
11,1487530.8412236392,332836.4255776958,562768.3655975254,332836.4255776958,76124.8519055204,125928.16580552139,562768.3655975254,125928.16580552139,212908.98967009532,-6885.284791002938,-11954.077991358086,-2630.933100833153,82810.0
12,1354911.4305856642,214061.86458975455,512258.50480864587,214061.86458975455,34832.330999414226,80937.37511473251,512258.50480864587,80937.37511473251,193672.62011423084,-8727.022153902733,-12300.691589563667,-3327.5670671046632,82510.0
13,1235156.0003120713,127345.63795890183,466699.5008541315,127345.63795890183,13787.760554448487,48121.572784754106,466699.5008541315,48121.572784754106,176341.21135349988,-10484.656431707124,-12525.169479939434,-3992.123850158307,82210.0
14,1128949.6708628042,63330.56366767092,426326.26086178445,63330.56366767092,4001.6641516002046,23919.113479397576,426326.26086178445,23919.113479397576,160994.39279007842,-12163.529957934166,-12653.488262430888,-4626.686397147523,81910.0
15,1035318.1286822832,15545.162049911794,390753.57377893705,15545.162049911794,552.0866089661623,5870.026167968382,390753.57377893705,5870.026167968382,147480.12001959106,-13769.545370044416,-12704.738824946215,-5233.532203734695,81610.0
16,952793.6676445547,-20474.309373702825,359414.7738090421,-20474.309373702825,673.7601772310226,-7720.885010446493,359414.7738090421,-7720.885010446493,135579.68253614136,-15308.448622697431,-12693.23863487467,-5814.867691438843,81310.0
17,879877.3838279706,-47835.59441531785,331734.85641015985,-47835.59441531785,2777.0156428970445,-18033.006933747827,331734.85641015985,-18033.006933747827,125072.53228707962,-16785.55321919642,-12629.935396886864,-6372.7275153495575,81010.0
