,1,2,3,4,5,6,7,8,9,mx,my,mz,time
0,148613990.20695767,89507244.89043161,15898624.515173463,89507244.89043161,817830487.2749717,-278309214.7915181,15898624.515173463,-278309214.7915181,110190419.75733201,-186.11772966838058,-28770.634399126244,10776.994234442225,86110.0
1,148657054.0924788,89547163.4330798,15897963.355748082,89547163.4330798,816585653.7289056,-277826684.8776272,15897963.355748082,-277826684.8776272,110008326.34747608,-173.24563795530844,-28767.432321675187,10780.086706339596,85810.0
2,148696284.41087818,89586849.22979355,15896111.710307362,89586849.22979355,815316042.7498766,-277334888.2427742,15896111.710307362,-277334888.2427742,109822341.22600274,-160.27241508504196,-28765.177090566372,10783.56982192661,85510.0
3,148732593.29007807,89622306.10965529,15894881.77515247,89622306.10965529,814014168.8949593,-276832342.11786133,15894881.77515247,-276832342.11786133,109632512.69617535,-147.32539379724145,-28763.97847048153,10787.442345419684,85210.0
4,148765950.91907108,89651230.73431163,15895132.021263598,89651230.73431163,812677153.4495914,-276318735.6582882,15895132.021263598,-276318735.6582882,109439012.24823764,-134.5085248416081,-28763.882842821025,10791.686945216647,84910.0
5,148797451.4543943,89671055.81643315,15898194.539149536,89671055.81643315,811299237.5046308,-275792760.3622509,15898194.539149536,-275792760.3622509,109241793.01832867,-121.93511446297748,-28764.964735893605,10796.293788289104,84610.0
6,148827269.33715382,89674191.92072049,15906985.71107601,89674191.92072049,809876995.1865263,-275255662.32614124,15906985.71107601,-275255662.32614124,109042298.86702977,-109.8157766913604,-28767.258211894405,10801.20532931345,84310.0
7,148852239.6056033,89653189.43190014,15923254.319281163,89653189.43190014,808419235.1325659,-274713248.7822097,15923254.319281163,-274713248.7822097,108843301.65942799,-98.35431441206676,-28770.631144583876,10806.303708524656,84010.0
8,148867893.19047502,89609181.75254609,15945080.507589657,89609181.75254609,806942587.9661568,-274171408.2975191,15945080.507589657,-274171408.2975191,108646379.20009342,-87.57847108512321,-28774.84696151839,10811.490491520955,83710.0
9,148873799.4355167,89552638.72229905,15968374.95373321,89552638.72229905,805453021.6333355,-273628895.2074823,15968374.95373321,-273628895.2074823,108449697.09651147,-77.33268714514145,-28779.808448957996,10816.780946885803,83410.0
10,148876938.08517513,89488972.59068015,15993427.874796273,89488972.59068015,803930916.1806062,-273076510.9367111,15993427.874796273,-273076510.9367111,108249886.41803731,-67.56560842387204,-28785.7392850227,10822.27647679432,83110.0
11,148883450.01289344,89400112.73331845,16029096.764981754,89400112.73331845,802352833.5219326,-272511458.8582619,16029096.764981754,-272511458.8582619,108048850.66072424,-58.666389351334914,-28792.896956853037,10827.94414862433,82810.0
12,148885826.279274,89260180.10892734,16082622.685811471,89260180.10892734,800735985.6881051,-271948863.8835846,16082622.685811471,-271948863.8835846,107854705.10424575,-51.15182585458296,-28801.026376906168,10833.515311071329,82510.0
13,148870091.59549606,89066789.88615286,16150236.530073298,89066789.88615286,799124150.0590382,-271406011.1320635,16150236.530073298,-271406011.1320635,107672701.37615047,-45.098614013408145,-28809.54877514757,10838.7463808631,82210.0
14,148829825.50802934,88833890.43250492,16224540.797608683,88833890.43250492,797544289.1444997,-270888395.8450568,16224540.797608683,-270888395.8450568,107502438.14912471,-40.2974634480734,-28818.084265067733,10843.56421602156,81910.0
15,148763814.65705508,88572063.11922105,16301146.453640014,88572063.11922105,796010216.1265826,-270397688.21881026,16301146.453640014,-270397688.21881026,107343079.75085983,-36.58428590846061,-28826.39161332215,10847.932733639156,81610.0
16,148670840.49042252,88293810.0710075,16374937.416860715,88293810.0710075,794536208.8448302,-269935095.79970485,16374937.416860715,-269935095.79970485,107193374.25479761,-33.71448961435738,-28834.228718706512,10851.84234293387,81310.0
17,148553458.5500056,88014474.60400468,16440985.763510568,88014474.60400468,793122483.1937758,-269495578.78973615,16440985.763510568,-269495578.78973615,107049778.02696706,-31.375512001583925,-28841.552965470284,10855.381324392187,81010.0
18,148416446.52952152,87738438.47654998,16499234.671034584,87738438.47654998,791756726.5017273,-269073035.71961886,16499234.671034584,-269073035.71961886,106909973.09259479,-29.459680813347013,-28848.49479823089,10858.634778421345,80710.0
19,148256518.3291273,87460338.7188365,16550605.607106438,87460338.7188365,790446800.7532971,-268672217.3180838,16550605.607106438,-268672217.3180838,106776055.62237357,-28.037886582490597,-28854.953802919674,10861.541251244618,80410.0
20,148062593.05532926,87197893.82721016,16584722.174006684,87197893.82721016,789229157.6265501,-268300934.5529995,16584722.174006684,-268300934.5529995,106647501.11177349,-26.768493350558973,-28860.51095256613,10864.05706024509,80110.0
21,147838587.0911648,87001046.73281127,16584078.052438285,87001046.73281127,788103143.7524111,-267942257.0588699,16584078.052438285,-267942257.0588699,106512083.24072832,-24.779309840451177,-28865.227462562038,10866.496636097492,79810.0
22,147612567.75084192,86902698.30773395,16545654.78402315,86902698.30773395,786994105.0703596,-267557069.0119097,16545654.78402315,-267557069.0119097,106354057.39773214,-21.575920948407166,-28870.04426660838,10869.379625908068,79510.0
23,147415597.3417009,86886950.7428589,16485819.02708158,86886950.7428589,785810334.1175948,-267116131.39658272,16485819.02708158,-267116131.39658272,106167875.74837025,-17.553888750201796,-28876.056128113825,10872.986328967052,79210.0
24,147263702.37641537,86908781.21331458,16426887.258136233,86908781.21331458,784499477.3331779,-266614762.2288433,16426887.258136233,-266614762.2288433,105959230.21411203,-13.597390986707403,-28883.841023923844,10877.239100548959,78910.0
25,147157501.0813621,86921837.89478558,16386528.185757926,86921837.89478558,783055240.5769216,-266066076.91584355,16386528.185757926,-266066076.91584355,105738965.06031874,-10.581145338275565,-28893.394762613403,10881.84411795588,78610.0
26,147088290.21865708,86891764.91774482,16374776.176073061,86891764.91774482,781502953.6456574,-265491094.8420076,16374776.176073061,-265491094.8420076,105518350.61439957,-9.133005331715685,-28904.310577343495,10886.438411735617,78310.0
