,x,y,z,vx,vy,vz,time
0,4925.139110758214,-5204.643767098905,33.023942143080674,4.302721168167628,5.061609329645545,4.2531967365189205,10
1,4925.125148032418,-5204.614949160333,33.09500425103968,4.302666364300241,5.061591468503918,4.253223121220745,10
2,4925.145348756522,-5204.607833582495,33.093363185693214,4.302687993316048,5.061664923666387,4.253188249502491,10
3,4925.137977584054,-5204.640021728553,33.02125590201359,4.302727707660274,5.061656752830309,4.253176239404964,10
4,4925.167032453001,-5204.602851910284,33.08051582605942,4.302675970900591,5.061635323570011,4.253205653977086,10
5,4925.100684018232,-5204.65386468386,33.03235250539669,4.3026911904246665,5.061732598508764,4.253167891465048,10
6,4925.140564053941,-5204.647069113984,33.00906264594975,4.302661437635638,5.061650455495064,4.2532072035235755,10
7,4925.196061903541,-5204.6497166493655,32.946282508773095,4.302639607209885,5.061666062738737,4.253206041044979,10
8,4925.154384264608,-5204.640987573156,33.00795932234216,4.302713261032937,5.061642231113504,4.253192884401971,10
9,4925.14349512966,-5204.680025181882,32.93064322138191,4.3026763366068455,5.061692195651848,4.253189343832688,10
10,5949.706443121139,-3453.269561053454,1285.8892040205715,2.44813059355081,6.532962003029697,4.025999888757017,310
11,5949.67387353951,-3453.244688489263,1285.9642529486787,2.448061996624501,6.532952368601325,4.025998755342049,310
12,5949.700255099894,-3453.216972070117,1285.9524738404405,2.4480811177670514,6.533015473012837,4.025966830347153,310
13,5949.70659056335,-3453.251421624507,1285.8805337750996,2.4481313487203984,6.533010171309264,4.025980513522481,310
14,5949.718822527958,-3453.222265005015,1285.9455379316971,2.448073762062925,6.5329770015747215,4.025989088562646,310
15,5949.657407532874,-3453.239709266983,1285.8883149829935,2.448084278762378,6.533105439609065,4.025965430749331,310
16,5949.689620648616,-3453.260133775809,1285.8780658302926,2.4480660264892506,6.533007246491832,4.026013529932115,310
17,5949.740057006161,-3453.2616796297734,1285.8184105468004,2.448054587587313,6.533000820540471,4.026036615553106,310
18,5949.719282224077,-3453.257809116644,1285.8729266803985,2.4481217150042363,6.532989196384047,4.026001916350534,310
19,5949.698712985799,-3453.2808845049913,1285.7984074424285,2.4480894302318728,6.533049053040009,4.026023598368456,310
20,6358.314100119009,-1346.475141435498,2404.7108442595495,0.24085882617483753,7.3917314904849825,3.3632639521066063,610
21,6358.259282393729,-1346.4527397604538,2404.780584585077,0.2407793534379369,7.391723584080281,3.3632288268630877,610
22,6358.291051094358,-1346.4083796279367,2404.7603360122475,0.24079703222114002,7.391770457121847,3.363205441251366,610
23,6358.312857968355,-1346.443045891611,2404.6964783727785,0.24084838685044538,7.391775011237309,3.36324526564019,610
24,6358.309038047914,-1346.4258757738628,2404.761029270683,0.24080131402086158,7.391729098661886,3.3632343153582758,610
25,6358.2447134944905,-1346.4004922612037,2404.6972747498653,0.24076542921615823,7.391881948779362,3.3632112343018474,610
26,6358.27511834467,-1346.4511344274197,2404.7031848428333,0.24077298500033184,7.391782250159001,3.3632712756668024,610
27,6358.323855274284,-1346.4564511018864,2404.654646110169,0.24077302146231966,7.391765574255138,3.3633224911569632,610
28,6358.32379156405,-1346.4560658557932,2404.69605640967,0.24084657267084078,7.391752832080898,3.363271720970434,610
29,6358.290346100097,-1346.4583877419595,2404.630586430376,0.24078795147205212,7.391830265760725,3.363307247688784,610
30,6090.283013348561,903.3658481568883,3267.5214519025667,-2.005238654248125,7.4728541785136136,2.340339919784188,910
31,6090.202760694074,903.3851607693906,3267.574986793486,-2.005328867219455,7.472839667030412,2.340266409201518,910
32,6090.240658223718,903.4407612876594,3267.550068111118,-2.005303791204404,7.472868226650468,2.340260454109721,910
33,6090.277061752835,903.4092256353222,3267.5016192007215,-2.0052586543212034,7.47288458360395,2.340322501736431,910
34,6090.261908243505,903.4117308432236,3267.560504429443,-2.005286780446665,7.472834524928881,2.3402963385739834,910
35,6090.176994884529,903.4820285867868,3267.487551797841,-2.005388136321008,7.472973102873437,2.340255680482598,910
36,6090.2136495442455,903.40416135543,3267.513257950992,-2.0053557021612973,7.472895066214364,2.3403267899818436,910
37,6090.263972777175,903.393818525374,3267.4841915262296,-2.005345497687017,7.472880198328951,2.3404047862717126,910
38,6090.28865347576,903.3901940378547,3267.509776973708,-2.005252758479532,7.472867729798405,2.3403529150740088,910
39,6090.230812646054,903.411591868888,3267.4544116114926,-2.0053580367264776,7.47294342030425,2.3403812442437144,910
40,5184.555919276643,3060.231559449055,3788.9086873167225,-3.961168242896469,6.78962083950216,1.1181262389081175,1210
41,5184.447022776521,3060.2438152705054,3788.9340836010847,-3.961268470584295,6.789585392445242,1.1180120550840422,1210
42,5184.494880279593,3060.3062910038147,3788.9114094300808,-3.9612259448322633,6.789605395516863,1.1180348065012546,1210
43,5184.543531958438,3060.2814496656956,3788.8842503180113,-3.961189491172538,6.789633802342726,1.1181138393338144,1210
44,5184.522467100435,3060.269487481002,3788.93332036546,-3.961202112632235,6.789588302352328,1.1180745945630879,1210
45,5184.39932107377,3060.3734747462067,3788.844588132904,-3.9613495941774413,6.789668313302305,1.1180107373698145,1210
46,5184.44750435349,3060.277654495379,3788.8922088404497,-3.9613086378186813,6.789627994837697,1.1180834727229885,1210
47,5184.502106647307,3060.2645532869083,3788.88994489471,-3.961290858578526,6.789626283781585,1.1181830852150834,1210
48,5184.557686549763,3060.258824244619,3788.9017982889864,-3.9611789792697447,6.789627278696063,1.1181454600416878,1210
49,5184.461876137476,3060.2986444091484,3788.8517457380744,-3.961323115148161,6.789669411667928,1.1181511349161783,1210
