,x,y,z
0,-4115.800956233014,-664.385824614306,-5536.707238405371
1,-3915.29923415475,-1428.667082160264,-5537.160415610202
2,-3915.29923415475,-1428.667082160264,-5537.160415610202
3,1015.7399438848738,557.9424594998218,7110.085292837933
4,-1605.8526526666499,-4667.459653737618,-4854.024861586898
5,-3130.987446463006,3753.5966827172088,-4902.9529537700255
6,-3503.3017827183426,-2263.2925983428713,-5534.350922893468
7,883.0588210817888,893.9273014787948,7113.604345701449
8,19460.800088215135,19895.24557097646,-2325.9081620032725
9,-3551.3420130826116,-3223.259562891564,-4992.863604290127
10,2606.743397687463,-6239.629067398755,-2666.4154410647
11,-2728.964088464133,-3834.1597136722967,-5077.31008652815
12,949.213969705872,4091.0756177836147,-5512.170597995183
13,952.6341159699377,-11119.82052792071,-1278.781823535757
14,1618.8785535815628,-2818.1304755313986,6451.993071521903
15,-3575.4018416289764,-2733.815033515451,-5260.354359278869
16,-3575.4018416289764,-2733.815033515451,-5260.354359278869
17,-30212.57847436837,19193.976965409245,-17583.695363293264
18,-30212.57847436837,19193.976965409245,-17583.695363293264
19,-2899.697713846039,-3337.3103196509564,-5327.670194673087
20,-2325.133993093726,-3737.343962042906,-5344.236693099077
21,-3579.099704331607,-1305.542169013579,-7024.8760938648675
22,2579.2446904411904,-3607.5175371276846,-5326.630124624934
23,-268.13388309971674,-4256.635882493197,-5535.842258670896
24,1491.0958449723735,4084.256891248079,-5395.626813285503
25,1501.1113220700981,-1568.1021438923142,6841.70076685626
26,1501.1113220700981,-1568.1021438923142,6841.70076685626
27,1012.8893979307928,-5449.812051947876,-4279.549310923149
28,-1396.4571853890036,-4785.433211615135,-4539.4171039488965
29,-1417.1897841400305,-4733.760069920572,-4587.813809004134
30,-1417.1897841400305,-4733.760069920572,-4587.813809004134
31,1509.2383378820489,4200.900106445763,5437.230840633764
32,-1372.2913962708747,-4844.878443754757,-4481.9654781279405
33,-2990.1977233593934,-3195.222435027238,-5363.165867203482
34,-2408.4827332628956,1164.472951893532,6248.648578709212
35,-2408.4827332628956,1164.472951893532,6248.648578709212
36,-1653.8552845090492,6699.077829537003,612.0253726606015
37,-2052.6151620520077,4049.3958321044374,-5594.606114147018
38,-4492.383458324273,747.6744462311748,-5223.261549157755
39,-4492.383458324273,747.6744462311748,-5223.261549157755
40,-1480.783161111263,-4562.971155385924,-4737.540637622758
41,-1511.6791331852407,-4476.3332797831645,-4809.820619121194
42,-3122.9060330433686,-2849.4954182145434,-5482.789693833698
43,-3122.9060330433686,-2849.4954182145434,-5482.789693833698
44,-892.1667324146985,4129.369840830055,-5486.022040104744
45,-196.17339966764203,5444.963632719673,4711.315892166485
46,-3490.5467469414625,-3100.4233481369142,-5796.082085459197
47,-3926.3495784062884,2502.6221304122196,-5240.194668796881
48,2241.6731858495637,4101.9618916777645,-5116.136207181434
49,-1559.2079366193318,-4338.261947175677,-4919.70144895775
50,-3678.9888595634366,944.580336974209,5656.1186414880685
51,-1557.357455346381,-4342.93435229037,-4916.073616956768
52,-1557.357455346381,-4342.93435229037,-4916.073616956768
53,-1603.454565255274,-4203.74243263073,-5022.024347411521
54,-1611.917607757805,-4177.426358853256,-5040.267941944282
55,-1611.917607757805,-4177.426358853256,-5040.267941944282
56,3245.232619665464,-3534.0534917706077,-5001.682057571671
57,-41740.71190609794,-8341.9445170499,1186.0698132402706
58,6442.495549808574,1640.0807380594642,-1988.3905867836181
59,-3794.379326013588,-1708.5388019573527,-5532.885978383861
60,-226.16497445114786,4150.081120248905,-5537.3528127310055
61,-11616.434982881652,10060.256189469392,20392.00429812773
62,-2319.0692196547484,3599.4358396469092,-5754.073514272767
63,905.5528108098302,801.2066206043665,7108.681901938837
64,905.5528108098302,801.2066206043665,7108.681901938837
65,32265.80618681885,7967.212737929554,-237.46964577884444
66,-3581.8521905181474,5001.187194106229,3780.9070834314766
67,25626.92307194012,33874.735104094936,830.8655871125509
68,32265.761770098507,7967.3918874704605,-237.75595283686914
69,-3369.119063364099,-2422.3085671846384,-5541.6291486822565
70,-3369.119063364099,-2422.3085671846384,-5541.6291486822565
71,409.88409240655255,19441.573506885645,6995.218082974104
72,409.88409240655255,19441.573506885645,6995.218082974104
73,-3668.1452628554466,3389.903666746341,-4803.866616101259
74,-3668.1452628554466,3389.903666746341,-4803.866616101259
75,1798.3323481807042,-1670.1973177604812,6704.112450956042
76,18860.001223805437,-9193.584329781275,6459.263804299354
77,-4129.878698545855,-413.3433904403439,-5541.376840655723
78,-4129.878698545855,-413.3433904403439,-5541.376840655723
79,2427.777834293,-5752.848253224199,-3188.8879545147815
80,4015.6848662074417,-1053.944989407563,-5540.853281180853
81,-3994.7319661167035,-1125.7927262637136,-5541.356604593335
82,3217.0700444562713,-4012.625911981522,-4646.383437485181
83,-4148.524703709301,-243.58590205754078,-5645.246540391853
84,-268.33090940846967,5411.09348732958,4750.906138882744
85,4159.51752637347,-289.64478168396386,-5527.103912838518
86,982.9034847384818,-5184.24360899468,-4493.026796751638
87,-4966.730749353894,1640.6193660757601,-4545.146704293162
88,-4966.730749353894,1640.6193660757601,-4545.146704293162
89,4756.530864654261,1664.1478617722933,4702.13881896262
90,-15137.475750648768,-4693.935638418516,31356.185988947436
91,1766.9795549006867,-2010.14500571324,6706.096352728564
92,1766.9795549006867,-2010.14500571324,6706.096352728564
93,42281.77174106499,4157.556916026956,-1670.5751151888412
94,42434.18016678665,984.421626057398,-2862.0437046751526
95,42281.77174106499,4157.556916026956,-1670.5751151888412
96,41967.32251006622,5734.306031715625,-1835.0928143928168
97,93.25335559653443,4184.687678767435,-5515.395989390052
98,-649.8778023075844,6113.533785001696,3028.5466728443525
99,3967.07151855352,-5647.384429206446,-2875.8811930493457
100,922.1171365533347,-6493.396909209783,-2044.1421670186357
101,11771.624170406621,5326.208118082177,-6625.317218327338
102,-2143.733465360567,-1769.743106876222,-6565.052147385555
103,-1669.697109316308,-1450.8896483973629,-7501.973710644313
